question message,Q,A
"Difficulty: Easy
Topic: Mobs and Interactions
Key Word: Zombie
Question: What does a Zombie turn into when it drowns in water?
Options: A. Skeleton B. Creeper C. Drowned D. Spider
Correct Answer: C","Question: What does a Zombie turn into when it drowns in water?
Options: A. Skeleton B. Creeper C. Drowned D. Spider",C
"Difficulty: Medium
Topic: Mobs and Interactions
Key Word: Zombie
Question: Which item is exclusively dropped by zombies when killed by a player?
Options: A. Carrot B. Bone C. Gunpowder D. Spider Eye
Correct Answer: A","Question: Which item is exclusively dropped by zombies when killed by a player?
Options: A. Carrot B. Bone C. Gunpowder D. Spider Eye",A
"Difficulty: Medium
Topic: Mobs and Interactions
Key Word: Zombie
Question: Which environmental condition causes Zombies to catch fire?
Options: A. Snow B. Rain C. Sunlight D. Darkness
Correct Answer: C","Question: Which environmental condition causes Zombies to catch fire?
Options: A. Snow B. Rain C. Sunlight D. Darkness",C
"Difficulty: Hard
Topic: Mobs and Interactions
Key Word: Zombie
Question: What type of potion effect will zombies exhibit when part of a Zombie Siege at night?
Options: A. Weakness B. Strength C. Slowness D. Invisibility 
Correct Answer: B","Question: What type of potion effect will zombies exhibit when part of a Zombie Siege at night?
Options: A. Weakness B. Strength C. Slowness D. Invisibility ",B
"Difficulty: Easy
Topic: Mobs and Interactions
Key Word: Skeleton
Question: What weapon do Skeletons primarily use?
Options: A. Sword B. Axe C. Bow D. Trident
Correct Answer: C","Question: What weapon do Skeletons primarily use?
Options: A. Sword B. Axe C. Bow D. Trident",C
"Difficulty: Medium
Topic: Mobs and Interactions
Key Word: Skeleton
Question: Which biome variant does the Skeleton Stray typically spawn?
Options: A. Desert B. Snowy C. Swamp D. Plains
Correct Answer: B","Question: Which biome variant does the Skeleton Stray typically spawn?
Options: A. Desert B. Snowy C. Swamp D. Plains",B
"Difficulty: Medium
Topic: Mobs and Interactions
Key Word: Skeleton
Question: During a full moon, what is the likelihood of a skeleton wearing full armor?
Options: A. 10% B. 50% C. 75% D. 5%
Correct Answer: A","Question: During a full moon, what is the likelihood of a skeleton wearing full armor?
Options: A. 10% B. 50% C. 75% D. 5%",A
"Difficulty: Hard
Topic: Mobs and Interactions
Key Word: Skeleton
Question: Which enchantment on armor is particularly effective against a skeleton’s arrows?
Options: A. Fire Protection B. Blast Protection C. Projectile Protection D. Thorns
Correct Answer: C","Question: Which enchantment on armor is particularly effective against a skeleton’s arrows?
Options: A. Fire Protection B. Blast Protection C. Projectile Protection D. Thorns",C
"Difficulty: Easy
Topic: Mobs and Interactions
Key Word: Creeper
Question: What causes a Creeper to explode?
Options: A. Touching water B. Daylight C. Close proximity to a player D. Eating
Correct Answer: C","Question: What causes a Creeper to explode?
Options: A. Touching water B. Daylight C. Close proximity to a player D. Eating",C
"Difficulty: Medium
Topic: Mobs and Interactions
Key Word: Creeper
Question: Which music disc can only be obtained by having a skeleton kill a creeper?
Options: A. Chirp B. Far C. Stal D. Ward
Correct Answer: D","Question: Which music disc can only be obtained by having a skeleton kill a creeper?
Options: A. Chirp B. Far C. Stal D. Ward",D
"Difficulty: Hard
Topic: Mobs and Interactions
Key Word: Creeper
Question: Which potion effect makes it impossible for a creeper to explode?
Options: A. Weakness B. Slowness C. Invisibility D. Night Vision
Correct Answer: B","Question: Which potion effect makes it impossible for a creeper to explode?
Options: A. Weakness B. Slowness C. Invisibility D. Night Vision",B
"Difficulty: Medium
Topic: Mobs and Interactions
Key Word: Creeper
Question: What can a player do to prevent a creeper from damaging the environment when it explodes?
Options: A. Kill it with a bow B. Hit it with a potion of slowness C. Trap it under water D. None of the above
Correct Answer: C","Question: What can a player do to prevent a creeper from damaging the environment when it explodes?
Options: A. Kill it with a bow B. Hit it with a potion of slowness C. Trap it under water D. None of the above",C
"Difficulty: Hard
Topic: Mobs and Interactions
Key Word: Creeper
Question: If a charged creeper explodes and kills another mob, what unique item might that mob drop?
Options: A. Its head B. Diamond C. Enchanted apple D. None, all items are destroyed
Correct Answer: A","Question: If a charged creeper explodes and kills another mob, what unique item might that mob drop?
Options: A. Its head B. Diamond C. Enchanted apple D. None, all items are destroyed",A
"Difficulty: Easy
Topic: Mobs and Interactions
Key Word: Spider
Question: During daytime, what is the behavior of a spider?
Options: A. Aggressive B. Neutral C. Inactive D. It explodes
Correct Answer: B","Question: During daytime, what is the behavior of a spider?
Options: A. Aggressive B. Neutral C. Inactive D. It explodes",B
"Difficulty: Medium
Topic: Mobs and Interactions
Key Word: Spider
Question: What is the effect of the potion that a Cave Spider’s bite can inflict?
Options: A. Nausea B. Poison C. Blindness D. Hunger
Correct Answer: B","Question: What is the effect of the potion that a Cave Spider’s bite can inflict?
Options: A. Nausea B. Poison C. Blindness D. Hunger",B
"Difficulty: Hard
Topic: Mobs and Interactions
Key Word: Spider
Question: What distinguishes a Cave Spider from a regular Spider in Minecraft besides its size?
Options: A. Color B. Health points C. Drop items D. Speed
Correct Answer: A","Question: What distinguishes a Cave Spider from a regular Spider in Minecraft besides its size?
Options: A. Color B. Health points C. Drop items D. Speed",A
"Difficulty: Easy
Topic: Mobs and Interactions
Key Word: Enderman
Question: Looking directly at which part of an Enderman provokes it to attack?
Options: A. Feet B. Hands C. Eyes D. Back
Correct Answer: C","Question: Looking directly at which part of an Enderman provokes it to attack?
Options: A. Feet B. Hands C. Eyes D. Back",C
