question message,Q,A
"Difficulty: Easy
Key Word: Acacia
Question: What distinct color is Acacia wood in Minecraft?
Options: 
A. Dark brown 
B. Red 
C. Orange 
D. Yellow
Correct Answer: C","Question: What distinct color is Acacia wood in Minecraft?
Options: 
A. Dark brown 
B. Red 
C. Orange 
D. Yellow",C
"Difficulty: Medium
Key Word: Acacia
Question: Which biome is known for having Acacia trees in Minecraft?
Options: 
A. Taiga 
B. Plains 
C. Savannah 
D. Desert
Correct Answer: C","Question: Which biome is known for having Acacia trees in Minecraft?
Options: 
A. Taiga 
B. Plains 
C. Savannah 
D. Desert",C
"Difficulty: Hard
Key Word: Acacia
Question: Which of the following items cannot be crafted directly from Acacia wood?
Options: 
A. Acacia Door 
B. Acacia Boat 
C. Acacia Trapdoor 
D. Acacia Sign
Correct Answer: B","Question: Which of the following items cannot be crafted directly from Acacia wood?
Options: 
A. Acacia Door 
B. Acacia Boat 
C. Acacia Trapdoor 
D. Acacia Sign",B
"Difficulty: Medium
Key Word: Acacia
Question: How many planks are obtained from crafting a single Acacia log?
Options: 
A. 2 
B. 4 
C. 6 
D. 8
Correct Answer: B","Question: How many planks are obtained from crafting a single Acacia log?
Options: 
A. 2 
B. 4 
C. 6 
D. 8",B
"Difficulty: Easy
Key Word: Acacia
Question: What is the primary use of Acacia wood logs in Minecraft?
Options: 
A. Crafting planks 
B. Crafting stairs 
C. Crafting slabs 
D. Crafting fences
Correct Answer: A","Question: What is the primary use of Acacia wood logs in Minecraft?
Options: 
A. Crafting planks 
B. Crafting stairs 
C. Crafting slabs 
D. Crafting fences",A
"Difficulty: Medium
Key Word: Aggro
Question: What happens when a player aggros an Enderman by looking directly at it?
Options: 
A. It teleports away 
B. It attacks the player 
C. It drops an ender pearl 
D. It becomes peaceful
Correct Answer: B","Question: What happens when a player aggros an Enderman by looking directly at it?
Options: 
A. It teleports away 
B. It attacks the player 
C. It drops an ender pearl 
D. It becomes peaceful",B
"Difficulty: Hard
Key Word: Aggro
Question: Which of these mobs does not have an aggressive state in Minecraft?
Options: 
A. Creeper 
B. Zombie 
C. Cow 
D. Spider
Correct Answer: C","Question: Which of these mobs does not have an aggressive state in Minecraft?
Options: 
A. Creeper 
B. Zombie 
C. Cow 
D. Spider",C
"Difficulty: Easy
Key Word: Aggro
Question: How can a player prevent a piglin from becoming aggressive?
Options: 
A. By wearing gold armor 
B. By wearing iron armor 
C. By holding a sword 
D. By running away
Correct Answer: A","Question: How can a player prevent a piglin from becoming aggressive?
Options: 
A. By wearing gold armor 
B. By wearing iron armor 
C. By holding a sword 
D. By running away",A
"Difficulty: Medium
Key Word: Aggro
Question: Which of the following actions will aggro a Zombified Piglin in Minecraft?
Options: 
A. Looking at it 
B. Attacking it 
C. Walking near it 
D. Feeding it
Correct Answer: B","Question: Which of the following actions will aggro a Zombified Piglin in Minecraft?
Options: 
A. Looking at it 
B. Attacking it 
C. Walking near it 
D. Feeding it",B
"Difficulty: Hard
Key Word: Aggro
Question: In which dimension are piglins naturally aggroed if the player is not wearing gold armor?
Options: 
A. Overworld 
B. Nether 
C. End 
D. None
Correct Answer: B","Question: In which dimension are piglins naturally aggroed if the player is not wearing gold armor?
Options: 
A. Overworld 
B. Nether 
C. End 
D. None",B
"Difficulty: Easy
Key Word: Allay
Question: What is the primary function of an Allay in Minecraft?
Options: 
A. Attack mobs 
B. Gather items 
C. Farm crops 
D. Mine ores
Correct Answer: B","Question: What is the primary function of an Allay in Minecraft?
Options: 
A. Attack mobs 
B. Gather items 
C. Farm crops 
D. Mine ores",B
"Difficulty: Medium
Key Word: Allay
Question: How can a player interact with an Allay to give it an item to gather?
Options: 
A. Right-click 
B. Left-click 
C. Drop the item 
D. Stand near it
Correct Answer: A","Question: How can a player interact with an Allay to give it an item to gather?
Options: 
A. Right-click 
B. Left-click 
C. Drop the item 
D. Stand near it",A
"Difficulty: Hard
Key Word: Allay
Question: In which Minecraft snapshot was the Allay first introduced?
Options: 
A. 20w14a 
B. 21w15a 
C. 22w13a 
D. 21w05a
Correct Answer: C","Question: In which Minecraft snapshot was the Allay first introduced?
Options: 
A. 20w14a 
B. 21w15a 
C. 22w13a 
D. 21w05a",C
"Difficulty: Medium
Key Word: Allay
Question: What happens when an Allay is given an item?
Options: 
A. It duplicates the item 
B. It throws the item away 
C. It seeks out and gathers matching items 
D. It eats the item
Correct Answer: C","Question: What happens when an Allay is given an item?
Options: 
A. It duplicates the item 
B. It throws the item away 
C. It seeks out and gathers matching items 
D. It eats the item",C
"Difficulty: Easy
Key Word: Allay
Question: Which of these can an Allay help a player with in Minecraft?
Options: 
A. Building structures 
B. Gathering materials 
C. Fighting enemies 
D. Crafting tools
Correct Answer: B","Question: Which of these can an Allay help a player with in Minecraft?
Options: 
A. Building structures 
B. Gathering materials 
C. Fighting enemies 
D. Crafting tools",B
"Difficulty: Medium
Key Word: Amethyst
Question: Where can players find Amethyst geodes in Minecraft?
Options: 
A. Above ground 
B. Underwater 
C. Underground caves 
D. Nether fortresses
Correct Answer: C","Question: Where can players find Amethyst geodes in Minecraft?
Options: 
A. Above ground 
B. Underwater 
C. Underground caves 
D. Nether fortresses",C
"Difficulty: Easy
Key Word: Amethyst
Question: What is the color of Amethyst in Minecraft?
Options: 
A. Blue 
B. Green 
C. Purple 
D. Red
Correct Answer: C","Question: What is the color of Amethyst in Minecraft?
Options: 
A. Blue 
B. Green 
C. Purple 
D. Red",C
"Difficulty: Hard
Key Word: Amethyst
Question: Which tool is required to mine Amethyst blocks without breaking them?
Options: 
A. Wooden Pickaxe 
B. Iron Pickaxe 
C. Diamond Pickaxe 
D. Any Pickaxe
Correct Answer: D","Question: Which tool is required to mine Amethyst blocks without breaking them?
Options: 
A. Wooden Pickaxe 
B. Iron Pickaxe 
C. Diamond Pickaxe 
D. Any Pickaxe",D
"Difficulty: Easy
Key Word: Andesite
Question: What color is Andesite in Minecraft?
Options: 
A. Red 
B. Blue 
C. Gray 
D. Green
Correct Answer: C","Question: What color is Andesite in Minecraft?
Options: 
A. Red 
B. Blue 
C. Gray 
D. Green",C
"Difficulty: Medium
Key Word: Andesite
Question: Which of the following tools is the most efficient for mining Andesite?
Options: 
A. Wooden Pickaxe 
B. Stone Pickaxe 
C. Iron Pickaxe 
D. Golden Pickaxe
Correct Answer: C","Question: Which of the following tools is the most efficient for mining Andesite?
Options: 
A. Wooden Pickaxe 
B. Stone Pickaxe 
C. Iron Pickaxe 
D. Golden Pickaxe",C
"Difficulty: Hard
Key Word: Andesite
Question: In which Minecraft update was Andesite first introduced?
Options: 
A. Java Edition 1.5 
B. Java Edition 1.8 
C. Java Edition 1.13 
D. Java Edition 1.16
Correct Answer: B","Question: In which Minecraft update was Andesite first introduced?
Options: 
A. Java Edition 1.5 
B. Java Edition 1.8 
C. Java Edition 1.13 
D. Java Edition 1.16",B
"Difficulty: Medium
Key Word: Andesite
Question: Which crafting ingredient is combined with Andesite to create Polished Andesite?
Options: 
A. Cobblestone 
B. Iron Ingot 
C. Another block of Andesite 
D. Stone
Correct Answer: C","Question: Which crafting ingredient is combined with Andesite to create Polished Andesite?
Options: 
A. Cobblestone 
B. Iron Ingot 
C. Another block of Andesite 
D. Stone",C
"Difficulty: Medium
Key Word: Andesite
Question: How many Andesite blocks are needed to craft four Polished Andesite blocks?
Options: 
A. 2 
B. 3 
C. 4 
D. 5
Correct Answer: C","Question: How many Andesite blocks are needed to craft four Polished Andesite blocks?
Options: 
A. 2 
B. 3 
C. 4 
D. 5",C
"Difficulty: Easy
Key Word: Animal Breeding
Question: What item is used to breed cows in Minecraft?
Options: 
A. Wheat 
B. Carrot 
C. Potato 
D. Seeds
Correct Answer: A","Question: What item is used to breed cows in Minecraft?
Options: 
A. Wheat 
B. Carrot 
C. Potato 
D. Seeds",A
"Difficulty: Medium
Key Word: Animal Breeding
Question: How long is the cooldown period before an animal can be bred again?
Options: 
A. 3 minutes 
B. 5 minutes 
C. 10 minutes 
D. 20 minutes
Correct Answer: B","Question: How long is the cooldown period before an animal can be bred again?
Options: 
A. 3 minutes 
B. 5 minutes 
C. 10 minutes 
D. 20 minutes",B
"Difficulty: Hard
Key Word: Animal Breeding
Question: Which of these animals cannot be bred using wheat?
Options: 
A. Cows 
B. Sheep 
C. Horses 
D. Goats
Correct Answer: C","Question: Which of these animals cannot be bred using wheat?
Options: 
A. Cows 
B. Sheep 
C. Horses 
D. Goats",C
"Difficulty: Medium
Key Word: Animal Breeding
Question: What is the maximum number of animals that can be bred at once in a single area in Bedrock Edition?
Options: 
A. 10 
B. 24 
C. 50 
D. 100
Correct Answer: B","Question: What is the maximum number of animals that can be bred at once in a single area in Bedrock Edition?
Options: 
A. 10 
B. 24 
C. 50 
D. 100",B
"Difficulty: Hard
Key Word: Animal Breeding
Question: Which two foods are used to breed foxes in Minecraft?
Options: 
A. Sweet Berries and Apples 
B. Sweet Berries and Glow Berries 
C. Apples and Carrots 
D. Carrots and Potatoes
Correct Answer: B","Question: Which two foods are used to breed foxes in Minecraft?
Options: 
A. Sweet Berries and Apples 
B. Sweet Berries and Glow Berries 
C. Apples and Carrots 
D. Carrots and Potatoes",B
"Difficulty: Easy
Key Word: Anvil
Question: What is an anvil primarily used for in Minecraft?
Options: 
A. Smelting items 
B. Brewing potions 
C. Repairing and renaming items 
D. Crafting tools
Correct Answer: C","Question: What is an anvil primarily used for in Minecraft?
Options: 
A. Smelting items 
B. Brewing potions 
C. Repairing and renaming items 
D. Crafting tools",C
"Difficulty: Medium
Key Word: Anvil
Question: How many iron ingots are required to craft an anvil?
Options: 
A. 3 
B. 4 
C. 27 
D. 31
Correct Answer: D","Question: How many iron ingots are required to craft an anvil?
Options: 
A. 3 
B. 4 
C. 27 
D. 31",D
"Difficulty: Hard
Key Word: Anvil
Question: What is the maximum number of times an item can be repaired using an anvil before it becomes too expensive?
Options: 
A. 4 
B. 6 
C. 8 
D. 10
Correct Answer: B","Question: What is the maximum number of times an item can be repaired using an anvil before it becomes too expensive?
Options: 
A. 4 
B. 6 
C. 8 
D. 10",B
"Difficulty: Medium
Key Word: Anvil
Question: What happens to an anvil after it is used a certain number of times?
Options: 
A. It explodes 
B. It breaks 
C. It becomes more expensive to use 
D. It becomes enchanted
Correct Answer: B","Question: What happens to an anvil after it is used a certain number of times?
Options: 
A. It explodes 
B. It breaks 
C. It becomes more expensive to use 
D. It becomes enchanted",B
"Difficulty: Medium
Key Word: Anvil
Question: Which enchantment is most commonly applied using an anvil?
Options: 
A. Efficiency 
B. Unbreaking 
C. Sharpness 
D. Protection
Correct Answer: A","Question: Which enchantment is most commonly applied using an anvil?
Options: 
A. Efficiency 
B. Unbreaking 
C. Sharpness 
D. Protection",A
"Difficulty: Easy
Key Word: Apple
Question: Which tree type in Minecraft drops apples when its leaves are broken?
Options: 
A. Oak 
B. Birch 
C. Spruce 
D. Jungle
Correct Answer: A","Question: Which tree type in Minecraft drops apples when its leaves are broken?
Options: 
A. Oak 
B. Birch 
C. Spruce 
D. Jungle",A
